No,Tanggal,Nama File,Durasi (detik),Jam Mulai,Jam Selesai
24,"2025-06-24","colorful-2468874_1280x384.png",15,19:05:00,19:05:15
25,"2025-06-24","stones-167089_1280x384.png",15,19:05:15,19:05:30
26,"2025-06-24","VID-20230129-WA0048.mp4",30,19:05:30,19:06:01
27,"2025-06-24","VID-20230129-WA0048.mp4",30,19:10:23,19:10:54
28,"2025-06-24","colorful-2468874_1280x384.png",15,19:10:54,19:11:09
29,"2025-06-24","stones-167089_1280x384.png",15,19:11:09,19:11:24
30,"2025-06-24","VID-20230129-WA0048.mp4",30,19:13:36,19:14:07
31,"2025-06-24","colorful-2468874_1280x384.png",15,19:14:07,19:14:22
32,"2025-06-24","stones-167089_1280x384.png",15,19:14:22,19:14:37
33,"2025-06-24","VID-20230129-WA0048.mp4",30,19:18:18,19:18:49
34,"2025-06-24","colorful-2468874_1280x384.png",15,19:18:49,19:19:04
35,"2025-06-24","stones-167089_1280x384.png",15,19:19:04,19:19:19
36,"2025-06-24","colorful-2468874_1280x384.png",15,19:24:55,19:25:10
37,"2025-06-24","colorful-2468874_1280x384.png",15,20:29:51,20:30:06
38,"2025-06-24","colorful-2468874_1280x384.png",15,20:35:58,20:36:13
39,"2025-06-24","VID-20230129-WA0048.mp4",30,20:36:13,20:36:44
40,"2025-06-24","stones-167089_1280x384.png",15,20:36:44,20:36:59
41,"2025-06-24","colorful-2468874_1280x384.png",15,20:40:29,20:40:44
42,"2025-06-24","VID-20230129-WA0048.mp4",30,20:40:44,20:41:15
43,"2025-06-24","stones-167089_1280x384.png",15,20:41:15,20:41:30
44,"2025-06-24","colorful-2468874_1280x384.png",15,20:41:30,20:41:45
45,"2025-06-24","VID-20230129-WA0048.mp4",30,20:41:45,20:42:16
46,"2025-06-24","stones-167089_1280x384.png",15,20:42:16,20:42:31
47,"2025-06-24","colorful-2468874_1280x384.png",15,20:42:31,20:42:46
48,"2025-06-24","colorful-2468874_1280x384.png",15,20:50:04,20:50:19
49,"2025-06-24","colorful-2468874_1280x384.png",15,20:52:50,20:53:05
50,"2025-06-24","colorful-2468874_1280x384.png",15,20:53:26,20:53:41
51,"2025-06-24","VID-20230129-WA0048.mp4",30,20:53:41,20:54:12
52,"2025-06-24","stones-167089_1280x384.png",15,20:54:12,20:54:27
53,"2025-06-24","colorful-2468874_1280x384.png",15,20:54:27,20:54:42
54,"2025-06-24","VID-20230129-WA0048.mp4",30,20:54:42,20:55:13
55,"2025-06-24","colorful-2468874_1280x384.png",15,20:55:29,20:55:44
56,"2025-06-24","VID-20230129-WA0048.mp4",30,20:55:44,20:56:15
57,"2025-06-24","stones-167089_1280x384.png",15,20:56:15,20:56:30
58,"2025-06-24","colorful-2468874_1280x384.png",15,20:56:30,20:56:45
59,"2025-06-24","colorful-2468874_1280x384.png",15,20:57:04,20:57:19
60,"2025-06-24","VID-20230129-WA0048.mp4",30,20:57:19,20:57:50
61,"2025-06-24","stones-167089_1280x384.png",15,20:57:50,20:58:05
62,"2025-06-24","colorful-2468874_1280x384.png",15,20:58:05,20:58:20
63,"2025-06-24","VID-20230129-WA0048.mp4",30,20:58:20,20:58:51
64,"2025-06-24","stones-167089_1280x384.png",15,20:58:51,20:59:06
65,"2025-06-24","colorful-2468874_1280x384.png",15,20:59:06,20:59:21
66,"2025-06-24","VID-20230129-WA0048.mp4",30,20:59:21,20:59:52
67,"2025-06-24","stones-167089_1280x384.png",15,20:59:52,21:00:07
68,"2025-06-24","colorful-2468874_1280x384.png",15,21:00:07,21:00:23
69,"2025-06-24","VID-20230129-WA0048.mp4",30,21:00:23,21:00:54
70,"2025-06-24","stones-167089_1280x384.png",15,21:00:54,21:01:09
71,"2025-06-24","colorful-2468874_1280x384.png",15,21:01:09,21:01:24
72,"2025-06-24","VID-20230129-WA0048.mp4",30,21:01:24,21:01:55
73,"2025-06-24","stones-167089_1280x384.png",15,21:01:55,21:02:10
74,"2025-06-24","colorful-2468874_1280x384.png",15,21:02:10,21:02:25
75,"2025-06-24","VID-20230129-WA0048.mp4",30,21:02:25,21:02:56
76,"2025-06-24","stones-167089_1280x384.png",15,21:02:56,21:03:11
77,"2025-06-24","colorful-2468874_1280x384.png",15,21:03:11,21:03:26
78,"2025-06-24","VID-20230129-WA0048.mp4",30,21:03:26,21:03:57
79,"2025-06-24","stones-167089_1280x384.png",15,21:03:57,21:04:12
80,"2025-06-24","colorful-2468874_1280x384.png",15,21:04:12,21:04:27
81,"2025-06-24","VID-20230129-WA0048.mp4",30,21:04:27,21:04:58
82,"2025-06-24","stones-167089_1280x384.png",15,21:04:58,21:05:13
83,"2025-06-24","colorful-2468874_1280x384.png",15,21:05:13,21:05:28
84,"2025-06-24","VID-20230129-WA0048.mp4",30,21:05:28,21:05:59
85,"2025-06-24","stones-167089_1280x384.png",15,21:05:59,21:06:14
86,"2025-06-24","colorful-2468874_1280x384.png",15,21:06:14,21:06:29
87,"2025-06-24","VID-20230129-WA0048.mp4",30,21:06:29,21:07:00
88,"2025-06-24","stones-167089_1280x384.png",15,21:07:00,21:07:15
89,"2025-06-24","colorful-2468874_1280x384.png",15,21:07:15,21:07:30
90,"2025-06-24","VID-20230129-WA0048.mp4",30,21:07:30,21:08:00
91,"2025-06-24","stones-167089_1280x384.png",15,21:08:00,21:08:15
92,"2025-06-24","colorful-2468874_1280x384.png",15,21:08:15,21:08:30
93,"2025-06-24","VID-20230129-WA0048.mp4",30,21:08:30,21:09:01
94,"2025-06-24","stones-167089_1280x384.png",15,21:09:01,21:09:16
95,"2025-06-24","colorful-2468874_1280x384.png",15,21:09:16,21:09:31
96,"2025-06-24","VID-20230129-WA0048.mp4",30,21:09:31,21:10:02
97,"2025-06-25","colorful-2468874_1280x384.png",15,12:14:43,12:14:58
98,"2025-06-25","VID-20230129-WA0048.mp4",30,12:14:58,12:15:29
99,"2025-06-25","stones-167089_1280x384.png",15,12:15:29,12:15:44
100,"2025-06-25","colorful-2468874_1280x384.png",15,12:15:44,12:15:59
101,"2025-06-25","colorful-2468874_1280x384.png",15,12:15:59,12:16:14
102,"2025-06-25","VID-20230129-WA0048.mp4",30,12:16:14,12:16:44
103,"2025-06-25","stones-167089_1280x384.png",15,12:16:44,12:16:59
104,"2025-06-25","colorful-2468874_1280x384.png",15,12:16:59,12:17:14
105,"2025-06-25","colorful-2468874_1280x384.png",15,12:17:14,12:17:29
106,"2025-06-25","VID-20230129-WA0048.mp4",30,12:17:29,12:18:00
107,"2025-06-25","colorful-2468874_1280x384.png",15,12:28:08,12:28:23
108,"2025-06-25","colorful-2468874_1280x384.png",15,12:30:09,12:30:24
109,"2025-06-25","VID-20230129-WA0048.mp4",30,12:30:24,12:30:55
110,"2025-06-25","stones-167089_1280x384.png",15,12:30:55,12:31:10
111,"2025-06-25","colorful-2468874_1280x384.png",15,12:31:10,12:31:25
112,"2025-06-25","colorful-2468874_1280x384.png",15,12:31:25,12:31:40
113,"2025-06-25","stones-167089_1280x384.png",15,12:31:40,12:31:55
114,"2025-06-25","colorful-2468874_1280x384.png",15,12:40:34,12:40:49
115,"2025-06-25","stones-167089_1280x384.png",15,12:41:10,12:41:25
116,"2025-06-25","colorful-2468874_1280x384.png",15,12:41:36,12:41:51
